code,name,sector,dif,dea,macd,k,d,j,kongpan,KDJ加分,财务加分,加分合计,total_score,来源,今日涨跌,连选天数,近3日涨幅,近5日涨幅,近10日涨幅,重点关注,source,macd_pass,zjtj_pass,kdj_pass,finance_pass,core_pass,rule_detail
600522,中天科技,,3.2582,2.5538,1.4088,83.33,69.02,111.96,18.67,,,,,龙头EBK,9.99,2,18.28,27.02,34.58,,龙头:600522,True,True,True,False,True,✓MACD买入 | ✓ZJTJ控盘 | ✓KDJ买入
002056,横店东磁,,2.1589,1.7009,0.916,70.09,76.78,56.7,18.85,,,,,龙头EBK,5.02,2,-5.4,8.46,18.68,,龙头:002056,True,True,False,False,True,✓MACD买入 | ✓ZJTJ控盘
600593,大连圣亚,,0.418,0.4053,0.0256,35.4,52.64,0.91,1.04,,,,,龙头EBK,-0.53,2,-6.8,-6.68,-0.67,,龙头:600593,True,True,False,False,True,✓MACD买入 | ✓ZJTJ控盘
600869,远东股份,,2.583,2.0572,1.0517,88.13,82.91,98.56,24.9,,,,,龙头EBK,7.91,2,11.77,17.17,43.09,,龙头:600869,True,True,True,False,True,✓MACD买入 | ✓ZJTJ控盘 | ✓KDJ买入
002815,崇达技术,,0.6311,0.5043,0.2535,72.76,70.43,77.43,8.4,,,,,龙头EBK,6.16,2,2.53,10.73,7.73,,龙头:002815,True,True,True,False,True,✓MACD买入 | ✓ZJTJ控盘 | ✓KDJ买入
603005,晶方科技,,3.3598,2.9434,0.8329,71.32,64.52,84.91,15.7,,,,,龙头EBK,3.63,2,4.96,21.12,3.75,,龙头:603005,True,True,True,False,True,✓MACD买入 | ✓ZJTJ控盘 | ✓KDJ买入
000921,海信家电,,0.8563,0.6866,0.3394,80.34,78.52,83.99,7.42,,,,,龙头EBK,-0.22,2,0.68,0.26,8.79,,龙头:000921,True,True,True,False,True,✓MACD买入 | ✓ZJTJ控盘 | ✓KDJ买入
603040,新坐标,,1.6693,1.3033,0.7321,65.36,49.82,96.43,4.44,,,,,龙头EBK,1.31,2,2.9,13.81,-2.85,,龙头:603040,True,True,True,False,True,✓MACD买入 | ✓ZJTJ控盘 | ✓KDJ买入
002824,和胜股份,,0.1827,0.1034,0.1587,58.28,59.44,55.95,2.74,,,,,龙头EBK,1.37,2,-5.61,4.06,9.32,,龙头:002824,True,True,False,False,True,✓MACD买入 | ✓ZJTJ控盘
600750,华润江中,,0.3375,0.0282,0.6188,79.2,80.59,76.41,6.51,,,,,龙头EBK,-1.31,1,0.43,-1.54,9.63,,龙头:600750,True,True,False,False,True,✓MACD买入 | ✓ZJTJ控盘
603890,春秋电子,,2.5447,2.3607,0.368,62.05,74.8,36.56,15.68,,,,,龙头EBK,-9.57,2,-13.39,-15.29,4.78,,龙头:603890,True,True,False,False,True,✓MACD买入 | ✓ZJTJ控盘
002484,江海股份,,12.8211,11.2217,3.1988,80.13,85.02,70.35,32.66,,,,,龙头EBK,10.0,2,-4.54,10.21,50.25,,龙头:002484,True,True,False,False,True,✓MACD买入 | ✓ZJTJ控盘
601100,恒立液压,,2.7884,2.0919,1.3928,70.57,54.35,103.03,6.37,,,,,龙头EBK,2.28,2,7.27,10.0,9.15,,龙头:601100,True,True,True,False,True,✓MACD买入 | ✓ZJTJ控盘 | ✓KDJ买入
000887,中鼎股份,,0.8129,0.6694,0.287,74.29,73.01,76.85,8.0,,,,,龙头EBK,0.14,2,6.08,4.01,3.46,,龙头:000887,True,True,True,False,True,✓MACD买入 | ✓ZJTJ控盘 | ✓KDJ买入
002046,国机精工,,1.8509,1.0215,1.6589,83.18,70.1,109.34,11.98,,,,,龙头EBK,7.72,2,15.75,25.54,18.97,,龙头:002046,True,True,True,False,True,✓MACD买入 | ✓ZJTJ控盘 | ✓KDJ买入
000530,冰山冷热,,0.1434,0.0523,0.1823,87.19,78.81,103.96,9.42,,,,,龙头EBK,5.24,2,9.46,9.28,24.86,,龙头:000530,True,True,True,False,True,✓MACD买入 | ✓ZJTJ控盘 | ✓KDJ买入
300726,宏达电子,,5.2325,4.6219,1.2213,61.08,63.9,55.45,15.06,,,,,龙头EBK,3.82,2,-11.55,8.37,15.19,,龙头:300726,True,True,False,False,True,✓MACD买入 | ✓ZJTJ控盘
603267,鸿远电子,,4.8484,4.8011,0.0945,49.41,64.78,18.69,8.9,,,,,龙头EBK,4.38,2,-13.36,-11.03,8.12,,龙头:603267,True,True,False,False,True,✓MACD买入 | ✓ZJTJ控盘
