date,code,name,score_ml,total_score,max_score,market_state,track
2025-01-21,002723,,15,64,115,choppy,0
2025-01-22,300709,,13,92,115,choppy,0
2025-01-23,300709,,13,93,115,choppy,0
2025-01-23,002723,,15,63,115,choppy,0
2025-01-24,300709,,13,93,115,choppy,0
2025-01-27,300709,,13,93,115,choppy,0
2025-02-05,300709,,13,92,115,choppy,0
2025-02-06,300709,,13,93,115,choppy,0
2025-02-07,300709,,13,89,115,choppy,0
2025-03-04,300709,,13,89,115,choppy,0
2025-03-05,300709,,13,93,115,choppy,0
2025-03-06,300709,,13,91,115,choppy,0
2025-03-07,300709,,13,94,115,choppy,0
2025-03-10,300709,,13,94,115,choppy,0
2025-03-11,300709,,13,93,115,choppy,0
2025-03-12,300709,,13,93,115,choppy,0
2025-03-18,300709,,13,93,115,choppy,0
2025-03-19,300709,,13,93,115,choppy,0
2025-03-20,300709,,13,93,115,choppy,0
2025-04-28,600887,,14,74,115,strong,0
2025-04-28,002114,,14,86,115,strong,0
2025-04-28,600866,,13,78,115,strong,0
2025-04-28,600704,,13,70,115,strong,0
2025-04-28,603359,,13,94,115,strong,0
2025-04-28,000713,,14,87,115,strong,0
2025-04-28,603813,,14,79,115,strong,0
2025-04-28,002419,,14,79,115,strong,0
2025-04-28,688526,,13,81,115,strong,0
2025-04-28,600180,,14,84,115,strong,0
2025-04-28,001219,,14,94,115,strong,0
2025-04-28,603565,,14,75,115,strong,0
2025-04-28,600195,,14,62,115,strong,0
2025-04-28,002719,,13,73,115,strong,0
2025-04-28,600017,,13,65,115,strong,0
2025-04-28,600226,,14,75,115,strong,0
2025-04-28,000716,,14,90,115,strong,0
2025-04-28,603967,,14,79,115,strong,0
2025-04-28,300197,,14,70,115,strong,0
2025-04-28,601880,,13,82,115,strong,0
2025-04-28,000972,,14,69,115,strong,0
2025-04-28,002314,,14,84,115,strong,0
2025-04-28,601083,,14,79,115,strong,0
2025-04-28,301591,,13,65,115,strong,0
2025-04-28,603086,,10,91,115,strong,0
2025-04-28,300119,,14,77,115,strong,0
2025-04-28,600265,,13,75,115,strong,0
2025-04-28,301058,,14,89,115,strong,0
2025-04-28,000599,,14,83,115,strong,0
2025-04-28,600222,,14,67,115,strong,0
2025-04-28,601609,,14,77,115,strong,0
2025-04-28,603566,,13,56,115,strong,0
2025-04-28,603319,,14,77,115,strong,0
2025-04-28,301029,,13,80,115,strong,0
2025-04-28,002768,,14,81,115,strong,0
2025-04-28,600267,,14,73,115,strong,0
2025-04-28,002041,,14,87,115,strong,0
2025-04-28,002183,,14,91,115,strong,0
2025-04-29,601952,,14,66,115,strong,0
2025-04-29,600265,,13,74,115,strong,0
2025-04-29,600084,,14,68,115,strong,0
2025-04-30,600597,,14,76,115,strong,0
2025-05-06,603718,,14,61,115,strong,0
2025-05-27,002717,,12,60,115,choppy,0
2025-05-30,600062,,13,64,115,choppy,0
2025-06-04,601298,,13,75,115,choppy,0
2025-06-04,600222,,14,67,115,choppy,0
2025-06-05,002415,,14,66,115,choppy,0
2025-06-06,300419,,13,62,115,strong,0
2025-06-06,000599,,13,68,115,strong,0
2025-06-06,300218,,14,65,115,strong,0
2025-06-09,688602,,14,64,115,strong,0
2025-06-09,000756,,12,61,115,strong,0
2025-06-10,688690,,11,63,115,strong,0
2025-06-10,301201,,13,60,115,strong,0
2025-06-10,000908,,14,64,115,strong,0
2025-06-11,603139,,13,92,115,strong,0
2025-06-11,300006,,14,61,115,strong,0
2025-06-12,600682,,10,60,115,strong,0
2025-06-16,688201,,14,59,115,strong,0
2025-06-17,300084,,13,88,115,strong,0
2025-06-20,003019,,13,64,115,choppy,0
2025-06-23,002189,,14,59,115,choppy,0
2025-06-24,300438,,14,62,115,strong,0
2025-06-24,688733,,13,67,115,strong,0
2025-06-25,600271,,13,67,115,strong,0
2025-06-25,002138,,14,78,115,strong,0
2025-06-25,301428,,10,75,115,strong,0
2025-06-25,002439,,14,68,115,strong,0
2025-06-25,301380,,10,59,115,strong,0
2025-06-26,002634,,14,59,115,strong,0
2025-06-26,600178,,10,75,115,strong,0
2025-06-26,300608,,13,69,115,strong,0
2025-06-26,002212,,14,68,115,strong,0
2025-06-26,688201,,11,91,115,strong,0
2025-06-26,300085,,13,88,115,strong,0
2025-06-27,300656,,14,72,115,strong,0
2025-06-27,300077,,14,72,115,strong,0
2025-06-30,688262,,13,63,115,strong,0
2025-06-30,301273,,14,63,115,strong,0
2025-07-02,002314,,14,63,115,strong,0
2025-07-02,603588,,13,60,115,strong,0
2025-07-03,000426,,13,62,115,strong,0
2025-07-08,002439,,14,57,115,strong,0
2025-07-08,688456,,10,58,115,strong,0
2025-07-08,002212,,13,54,115,strong,0
2025-07-09,603881,,14,74,115,strong,0
2025-07-10,600120,,14,63,115,strong,0
2025-07-11,600764,,13,57,115,strong,0
2025-07-11,300757,,14,80,115,strong,0
2025-07-17,002294,,14,90,115,choppy,0
2025-07-17,300017,,13,61,115,choppy,0
2025-07-18,002265,,13,94,115,strong,0
2025-07-21,601600,,13,69,115,strong,0
2025-07-21,600170,,13,58,115,strong,0
2025-07-21,600581,,14,65,115,strong,0
2025-07-22,688601,,13,90,115,strong,0
2025-07-22,601899,,12,58,115,strong,0
2025-07-22,603663,,14,62,115,strong,0
2025-07-22,600682,,14,75,115,strong,0
2025-07-23,601168,,14,63,115,strong,0
2025-07-23,000504,,14,70,115,strong,0
2025-07-23,300930,,10,59,115,strong,0
2025-07-23,601216,,13,62,115,strong,0
2025-07-24,000572,,14,63,115,strong,0
2025-07-24,688786,,13,75,115,strong,0
2025-07-24,002386,,10,59,115,strong,0
2025-07-24,000793,,13,62,115,strong,0
2025-07-28,301092,,13,79,115,strong,0
2025-07-29,002294,,14,67,115,strong,0
2025-07-31,688091,,13,93,115,choppy,0
2025-08-01,600222,,13,70,115,choppy,0
2025-08-06,300328,,11,58,115,strong,0
2025-08-06,600698,,14,85,115,strong,0
2025-08-06,688151,,14,89,115,strong,0
2025-08-06,002189,,10,70,115,strong,0
2025-08-07,600071,,10,62,115,strong,0
2025-08-07,300352,,14,62,115,strong,0
2025-08-08,688767,,13,72,115,strong,0
2025-08-13,601609,,14,78,115,strong,0
2025-08-13,688151,,14,66,115,strong,0
2025-08-15,603296,,13,74,115,strong,0
2025-08-15,600176,,14,66,115,strong,0
2025-08-21,000625,,13,57,115,strong,0
2025-08-25,002851,,10,75,115,strong,0
2025-08-25,688313,,13,89,115,strong,0
2025-08-28,603228,,14,88,115,strong,0
2025-09-02,688017,,14,88,115,strong,0
2025-09-08,000060,,13,55,115,choppy,0
2025-09-08,002306,,14,60,115,choppy,0
2025-09-08,688017,,13,93,115,choppy,0
2025-09-12,000737,,14,69,115,choppy,0
2025-09-12,600331,,14,72,115,choppy,0
2025-09-16,605376,,14,90,115,choppy,0
2025-09-17,300134,,14,71,115,strong,0
2025-09-22,603031,,14,91,115,choppy,0
2025-09-23,300968,,14,67,115,choppy,0
2025-09-24,600160,,14,57,115,choppy,0
2025-09-25,002015,,13,72,115,choppy,0
2025-09-26,601168,,13,72,115,choppy,0
2025-09-26,600160,,14,59,115,choppy,0
2025-09-29,600711,,13,67,115,choppy,0
2025-09-29,000630,,14,72,115,choppy,0
2025-09-29,603588,,13,67,115,choppy,0
2025-09-29,600160,,14,59,115,choppy,0
2025-09-30,301219,,14,59,115,strong,0
2025-09-30,301500,,11,66,115,strong,0
2025-09-30,600160,,14,59,115,strong,0
2025-09-30,000060,,10,57,115,strong,0
2025-10-09,000960,,14,93,115,strong,0
2025-10-09,000063,,11,85,115,strong,0
2025-10-09,600160,,14,56,115,strong,0
2025-10-09,600961,,14,82,115,strong,0
2025-10-10,600160,,14,59,115,strong,0
2025-10-13,000657,,14,74,115,strong,0
2025-10-13,600160,,14,59,115,strong,0
2025-10-13,603257,,13,89,115,strong,0
2025-10-14,600160,,14,58,115,strong,0
2025-10-15,600160,,14,59,115,strong,0
2025-10-16,600160,,14,59,115,strong,0
2025-10-17,600160,,14,54,115,choppy,0
2025-10-20,600158,,14,64,115,strong,0
2025-10-20,600160,,14,58,115,strong,0
2025-10-21,600871,,13,62,115,choppy,0
2025-10-21,600160,,14,58,115,choppy,0
2025-10-22,600160,,14,55,115,choppy,0
2025-10-24,601168,,13,69,115,choppy,0
2025-10-27,603993,,14,63,115,choppy,0
2025-10-27,600160,,14,54,115,choppy,0
2025-10-28,603067,,13,81,115,choppy,0
2025-10-29,000960,,14,68,115,choppy,0
2025-10-29,600221,,14,54,115,choppy,0
2025-10-29,601118,,13,61,115,choppy,0
2025-10-29,600362,,13,89,115,choppy,0
2025-10-31,600301,,13,78,115,choppy,0
2025-11-03,000572,,14,75,115,choppy,0
2025-11-04,000793,,14,65,115,choppy,0
2025-11-04,600158,,13,63,115,choppy,0
2025-11-06,603938,,14,66,115,choppy,0
2025-11-06,002353,,13,92,115,choppy,0
