date,code,name,score_ml,total_score,kdj_pass,market_state
2025-07-22,603663,,13.5,62,False,strong
2025-07-22,601899,,12.2,58,False,strong
2025-07-23,000504,,13.5,70,False,strong
2025-07-23,601168,,13.5,63,False,strong
2025-07-23,601216,,12.9,62,False,strong
2025-07-24,688786,,12.9,75,False,strong
2025-07-24,000572,,13.5,63,False,strong
2025-07-24,000793,,12.9,62,False,strong
2025-07-28,301092,,12.9,79,False,strong
2025-07-29,002294,,13.5,67,False,strong
2025-07-31,688091,,12.9,93,False,choppy
2025-08-01,600222,,12.9,70,False,choppy
2025-08-06,688151,,13.5,89,False,strong
2025-08-06,600698,,13.5,85,False,strong
2025-08-06,002189,,10.4,70,False,strong
2025-08-07,600071,,10.5,62,False,strong
2025-08-07,300352,,13.5,62,False,strong
2025-08-13,601609,,13.5,78,False,strong
2025-08-13,688151,,13.5,66,False,strong
2025-08-15,603296,,12.9,74,False,strong
2025-08-15,600176,,13.5,66,False,strong
2025-08-21,000625,,12.9,57,False,strong
2025-08-25,688313,,12.9,89,False,strong
2025-08-25,002851,,10.0,75,False,strong
2025-08-28,603228,,13.5,88,False,strong
2025-09-02,688017,,13.5,88,False,strong
2025-09-08,688017,,12.9,93,False,choppy
2025-09-08,002306,,13.5,60,False,choppy
2025-09-12,600331,,13.5,72,False,choppy
2025-09-12,000737,,13.5,69,False,choppy
2025-09-16,605376,,13.5,90,False,choppy
2025-09-17,300134,,13.5,71,False,strong
2025-09-22,603031,,13.5,91,False,choppy
2025-09-26,601168,,12.9,72,False,choppy
2025-09-29,000630,,13.5,72,False,choppy
2025-09-29,600711,,12.9,67,False,choppy
2025-09-30,301500,,10.9,66,False,strong
2025-09-30,301219,,13.5,59,False,strong
2025-09-30,000060,,10.5,57,False,strong
2025-10-09,000960,,13.5,93,False,strong
2025-10-09,000063,,11.3,85,False,strong
2025-10-09,600961,,13.5,82,False,strong
2025-10-13,603257,,12.9,89,False,strong
2025-10-13,000657,,13.5,74,False,strong
2025-10-20,600158,,13.5,64,False,strong
2025-10-21,600871,,12.9,62,False,choppy
2025-10-24,601168,,12.9,69,False,choppy
2025-10-27,603993,,13.5,63,False,choppy
2025-10-29,600362,,12.9,89,False,choppy
2025-10-29,000960,,13.5,68,False,choppy
2025-11-03,000572,,13.5,75,False,choppy
2025-11-04,000793,,13.5,65,False,choppy
2025-11-04,600158,,12.9,63,False,choppy
2025-11-06,002353,,12.9,92,False,choppy
2025-11-06,603938,,13.5,66,False,choppy
2025-11-07,000552,,12.9,57,False,strong
2025-11-12,002200,,13.5,67,False,choppy
2025-11-13,002145,,12.9,61,False,strong
2025-11-13,600123,,13.5,61,False,strong
2025-11-14,603078,,13.5,96,True,strong
2025-11-14,002384,,13.5,95,False,strong
2025-11-14,002001,,13.5,92,False,strong
2025-11-26,000078,,13.5,64,False,strong
2025-12-01,000960,,13.5,78,False,strong
2025-12-02,600851,,12.9,69,False,strong
2025-12-03,601168,,12.9,74,False,strong
2025-12-09,300308,,12.9,91,False,strong
2025-12-10,600869,,13.5,60,False,strong
2025-12-10,600221,,13.5,58,False,strong
2025-12-11,601869,,12.9,67,False,strong
2025-12-12,300285,,13.5,94,False,strong
2025-12-18,600487,,13.5,69,False,strong
2025-12-19,601869,,12.9,94,False,strong
2025-12-23,688668,,12.9,93,False,strong
2025-12-24,301182,,13.5,78,False,strong
2025-12-24,300159,,13.5,66,False,strong
2025-12-24,601212,,13.5,62,False,strong
2025-12-25,605589,,13.5,66,False,strong
2025-12-25,002897,,12.9,63,False,strong
2025-12-25,000733,,12.9,59,False,strong
2025-12-26,688519,,12.9,87,False,strong
2025-12-26,603267,,13.5,84,False,strong
2025-12-26,601212,,13.5,61,False,strong
2025-12-29,002465,,13.5,89,False,strong
2026-01-06,301099,,10.5,89,False,strong
2026-01-06,600459,,13.5,86,False,strong
2026-01-06,300666,,10.5,86,False,strong
2026-01-07,600869,,13.5,88,False,strong
2026-01-07,688146,,13.5,76,False,strong
2026-01-07,300285,,13.5,65,False,strong
2026-01-08,688777,,12.2,89,False,strong
2026-01-08,688082,,12.9,88,False,strong
2026-01-08,603078,,13.5,71,False,strong
2026-01-09,301282,,10.4,64,False,strong
2026-01-12,688175,,10.5,87,False,strong
2026-01-12,002859,,13.5,75,False,strong
2026-01-12,300184,,13.5,65,False,strong
2026-01-13,002723,,12.9,57,False,strong
2026-01-15,601137,,12.9,55,False,strong
2026-01-16,688147,,13.5,89,False,strong
2026-01-16,301297,,12.9,64,False,strong
2026-01-20,301338,,13.5,90,False,strong
2026-01-20,600487,,13.5,70,False,strong
2026-01-21,301312,,12.9,89,False,strong
2026-01-21,603008,,13.5,68,False,strong
2026-01-21,600459,,10.4,62,False,strong
2026-01-22,301099,,13.5,67,False,strong
2026-01-23,600522,,13.5,71,False,strong
2026-01-23,603212,,13.5,66,False,strong
2026-01-23,000878,,13.5,65,False,strong
2026-01-27,601899,,10.5,79,False,strong
2026-01-27,300738,,11.7,70,False,strong
2026-01-28,603993,,11.3,91,False,strong
2026-01-28,600711,,10.9,61,False,strong
2026-01-28,600255,,10.5,61,False,strong
2026-01-29,600362,,13.5,94,False,strong
2026-02-05,688586,,13.5,77,False,strong
2026-02-06,301018,,13.5,84,False,choppy
2026-02-09,002493,,13.5,64,False,strong
2026-02-11,605589,,12.9,67,False,choppy
2026-02-11,603687,,12.9,62,False,choppy
2026-02-12,688147,,13.5,94,False,strong
2026-02-12,000962,,13.5,92,False,strong
2026-02-12,688150,,13.5,91,False,strong
2026-02-13,603045,,13.5,76,False,choppy
2026-02-24,301071,,10.2,88,False,strong
2026-02-24,605020,,13.5,74,False,strong
2026-02-24,601808,,12.9,73,False,strong
2026-02-25,002056,,13.5,77,False,strong
2026-02-25,002601,,11.3,72,False,strong
2026-02-25,600871,,13.5,66,False,strong
2026-02-26,300726,,13.5,94,False,strong
2026-02-26,301312,,12.9,89,False,strong
2026-02-26,688187,,12.9,78,False,strong
2026-02-27,600301,,13.5,95,False,strong
2026-02-27,000960,,13.5,95,False,strong
2026-02-27,603773,,13.5,92,False,strong
2026-03-02,688498,,13.5,91,False,strong
2026-03-02,002155,,10.4,90,False,strong
2026-03-02,600378,,13.5,81,False,strong
2026-03-05,002532,,13.5,71,False,strong
2026-03-06,688597,,12.2,70,False,strong
2026-03-10,301419,,13.5,87,False,strong
2026-03-10,301182,,13.5,82,False,strong
2026-03-11,300243,,10.5,85,False,strong
2026-03-11,002145,,12.9,67,True,strong
2026-03-11,600522,,13.5,67,False,strong
2026-03-12,601699,,12.9,63,False,choppy
2026-03-12,600282,,12.9,57,False,choppy
2026-03-18,600563,,12.9,92,False,choppy
2026-03-18,603311,,13.5,67,False,choppy
2026-04-01,600522,,13.5,71,False,choppy
2026-04-03,300666,,13.5,60,False,choppy
2026-04-07,688079,,13.5,75,False,strong
2026-04-07,688702,,13.5,71,False,strong
2026-04-07,301419,,12.7,68,False,strong
2026-04-08,300975,,13.5,64,False,strong
2026-04-09,301018,,13.5,94,False,strong
2026-04-09,688097,,13.5,91,False,strong
2026-04-09,002903,,12.9,75,False,strong
2026-04-14,688519,,12.5,89,False,strong
2026-04-14,301182,,13.5,86,False,strong
2026-04-14,002859,,13.3,71,False,strong
2026-04-16,002859,,10.8,88,False,strong
2026-04-21,301338,,13.5,94,False,strong
2026-04-21,600487,,13.5,84,False,strong
2026-04-21,600522,,13.5,81,False,strong
2026-04-22,600869,,13.5,95,False,strong
2026-04-22,601869,,13.5,95,False,strong
2026-04-27,300666,,13.5,91,False,strong
2026-04-30,688127,,12.9,90,False,strong
2026-04-30,301182,,12.9,59,False,strong
2026-05-08,301362,,13.5,85,False,strong
2026-05-08,600105,,12.9,81,False,strong
2026-05-08,603124,,13.5,64,False,strong
2026-05-12,688205,,13.5,89,False,strong
2026-05-12,688079,,13.5,86,False,strong
2026-05-13,300620,,13.5,94,False,strong
2026-05-13,688700,,13.5,94,False,strong
2026-05-13,603890,,12.9,84,False,strong
2026-05-14,688097,,13.5,88,False,strong
2026-05-18,301489,,12.9,88,False,strong
2026-05-20,688805,,12.9,93,False,strong
2026-05-22,301419,,12.9,92,False,strong
2026-05-22,603800,,13.5,91,False,strong
2026-05-22,002273,,13.5,61,False,strong
2026-05-25,301312,,12.9,93,False,strong
2026-05-25,301563,,10.4,89,False,strong
2026-05-25,300975,,12.9,88,False,strong
2026-05-26,600378,,13.5,94,False,strong
2026-05-26,603773,,12.6,90,False,strong
2026-05-26,301338,,13.5,87,False,strong
2026-05-27,688519,,13.5,93,False,strong
2026-05-27,002273,,13.5,82,False,strong
2026-05-28,601138,,12.9,88,False,strong
2026-05-28,300184,,10.5,84,False,strong
2026-06-02,300620,,13.5,91,False,strong
2026-06-02,600869,,13.5,88,False,strong
2026-06-02,601137,,12.9,72,True,strong
