date,code,name,score_ml,total_score,max_score,market_state
2023-07-20,002783,,14,59,115,choppy
2023-07-20,688377,,14,89,115,choppy
2023-07-20,002385,,14,60,115,choppy
2023-07-20,603588,,14,71,115,choppy
2023-07-20,600114,,14,69,115,choppy
2023-07-20,000960,,14,57,115,choppy
2023-07-20,000426,,14,56,115,choppy
2023-07-20,300163,,14,71,115,choppy
2023-07-20,002041,,14,81,115,choppy
2023-07-20,600123,,14,60,115,choppy
2023-07-20,002207,,14,72,115,choppy
2023-07-20,601808,,14,66,115,choppy
2023-07-20,600098,,13,51,115,choppy
2023-07-20,600961,,14,68,115,choppy
2023-07-20,002258,,14,88,115,choppy
2023-07-20,002353,,13,94,115,choppy
2023-07-20,600938,,14,78,115,choppy
2023-07-20,002004,,14,58,115,choppy
2023-07-20,600141,,12,86,115,choppy
2023-07-20,600096,,12,88,115,choppy
2023-07-20,000751,,14,56,115,choppy
2023-07-21,603955,,13,83,115,strong
2023-07-21,600389,,14,89,115,strong
2023-07-21,600596,,14,95,115,strong
2023-07-21,000632,,13,62,115,strong
2023-07-21,600711,,14,66,115,strong
2023-07-21,002305,,13,59,115,strong
2023-07-21,002749,,13,64,115,strong
2023-07-21,002409,,14,53,115,strong
2023-07-21,002114,,13,54,115,strong
2023-07-21,002385,,14,64,115,strong
2023-07-21,603588,,13,67,115,strong
2023-07-21,002419,,14,73,115,strong
2023-07-21,000960,,14,56,115,strong
2023-07-21,605020,,13,88,115,strong
2023-07-21,300163,,14,71,115,strong
2023-07-21,605001,,13,52,115,strong
2023-07-21,002041,,14,87,115,strong
2023-07-21,600961,,14,62,115,strong
2023-07-21,002258,,14,95,115,strong
2023-07-21,002004,,14,63,115,strong
2023-07-21,600486,,13,94,115,strong
2023-07-21,600141,,13,94,115,strong
2023-07-21,002001,,14,83,115,strong
2023-07-21,002172,,14,65,115,strong
2023-07-24,603955,,13,87,115,strong
2023-07-24,000713,,13,62,115,strong
2023-07-24,600389,,13,82,115,strong
2023-07-24,600596,,14,76,115,strong
2023-07-24,000632,,13,66,115,strong
2023-07-24,002305,,14,64,115,strong
2023-07-24,600708,,14,58,115,strong
2023-07-24,603588,,14,67,115,strong
2023-07-24,002419,,14,73,115,strong
2023-07-24,300163,,14,71,115,strong
2023-07-24,002856,,13,71,115,strong
2023-07-24,605001,,13,55,115,strong
2023-07-24,600162,,14,66,115,strong
2023-07-24,600961,,14,57,115,strong
2023-07-24,002258,,14,83,115,strong
2023-07-24,600340,,13,63,115,strong
2023-07-24,000055,,13,60,115,strong
2023-07-24,002314,,13,68,115,strong
2023-07-24,600141,,13,82,115,strong
2023-07-25,603955,,13,85,115,strong
2023-07-25,000713,,13,58,115,strong
2023-07-25,002789,,14,75,115,strong
2023-07-25,000632,,12,68,115,strong
2023-07-25,000060,,13,72,115,strong
2023-07-25,002305,,13,71,115,strong
2023-07-25,600708,,14,71,115,strong
2023-07-25,600376,,14,62,115,strong
2023-07-25,601686,,13,60,115,strong
2023-07-25,000166,,13,62,115,strong
2023-07-25,002541,,14,89,115,strong
2023-07-25,000056,,13,63,115,strong
2023-07-25,603588,,14,63,115,strong
2023-07-25,002419,,14,73,115,strong
2023-07-25,300163,,14,71,115,strong
