date,code,name,score_ml,total_score,max_score,market_state,signal_tier
2023-07-03,002723,,9,68,115,strong,0
2023-07-04,688017,,14,59,115,strong,1
2023-07-04,000601,,14,65,115,strong,1
2023-07-04,300285,,14,64,115,strong,1
2023-07-04,301312,,14,94,115,strong,1
2023-07-04,603890,,14,86,115,strong,1
2023-07-04,002429,,14,64,115,strong,1
2023-07-04,300308,,14,58,115,strong,1
2023-07-04,002281,,14,58,115,strong,1
2023-07-04,600487,,14,72,115,strong,1
2023-07-04,301128,,14,63,115,strong,1
2023-07-04,600105,,14,57,115,strong,1
2023-07-04,000700,,14,73,115,strong,1
2023-07-04,301133,,14,88,115,strong,0
2023-07-04,002859,,14,70,115,strong,0
2023-07-05,603728,,14,59,115,choppy,1
2023-07-05,000601,,14,65,115,choppy,1
2023-07-05,301312,,14,88,115,choppy,1
2023-07-05,688143,,14,94,115,choppy,1
2023-07-05,002429,,14,64,115,choppy,1
2023-07-05,300308,,14,58,115,choppy,1
2023-07-05,301128,,14,63,115,choppy,1
2023-07-05,000700,,14,69,115,choppy,1
2023-07-05,301133,,14,93,115,choppy,1
2023-07-06,603728,,14,59,115,choppy,1
2023-07-06,600114,,14,65,115,choppy,1
2023-07-06,000601,,14,59,115,choppy,1
2023-07-06,688519,,11,91,115,choppy,0
2023-07-06,301013,,14,64,115,choppy,1
2023-07-06,301312,,14,87,115,choppy,1
2023-07-06,688143,,14,94,115,choppy,1
2023-07-06,603890,,14,70,115,choppy,1
2023-07-06,002429,,14,64,115,choppy,0
2023-07-06,300308,,14,58,115,choppy,1
2023-07-06,688515,,14,87,115,choppy,1
2023-07-06,000988,,9,85,115,choppy,0
2023-07-07,603728,,14,59,115,strong,1
2023-07-07,600114,,14,89,115,strong,1
2023-07-07,000601,,14,59,115,strong,1
2023-07-07,600105,,14,64,115,strong,1
2023-07-07,301419,,10,66,115,strong,0
2023-07-07,301312,,14,58,115,strong,1
2023-07-07,002434,,14,75,115,strong,1
2023-07-07,688515,,14,56,115,strong,1
2023-07-07,688260,,14,66,115,strong,1
2023-07-10,600114,,14,86,115,strong,1
2023-07-10,000601,,14,59,115,strong,1
2023-07-10,600105,,14,64,115,strong,1
2023-07-10,301133,,14,94,115,strong,1
2023-07-10,002434,,14,68,115,strong,1
2023-07-10,000988,,14,93,115,strong,1
2023-07-10,688143,,14,86,115,strong,1
2023-07-11,600114,,14,91,115,strong,1
2023-07-11,000601,,14,66,115,strong,1
2023-07-11,688260,,14,77,115,strong,1
2023-07-11,600105,,14,58,115,strong,1
2023-07-11,002434,,14,68,115,strong,1
2023-07-11,300124,,14,87,115,strong,1
2023-07-11,688143,,14,86,115,strong,1
2023-07-11,300975,,10,53,115,strong,0
2023-07-12,000601,,14,64,115,strong,1
2023-07-12,002434,,14,67,115,strong,1
2023-07-12,688260,,14,64,115,strong,1
2023-07-12,301133,,14,87,115,strong,1
2023-07-12,688700,,14,56,115,strong,1
2023-07-12,601208,,14,92,115,strong,1
2023-07-12,603773,,14,64,115,strong,1
2023-07-12,002859,,14,64,115,strong,1
2023-07-13,000601,,14,63,115,strong,1
2023-07-13,002434,,14,64,115,strong,1
2023-07-13,000678,,14,58,115,strong,1
2023-07-13,002056,,14,76,115,strong,1
2023-07-13,002634,,14,84,115,strong,1
2023-07-13,300566,,14,70,115,strong,1
2023-07-13,601137,,14,68,115,strong,1
2023-07-13,688700,,14,57,115,strong,1
2023-07-13,601208,,14,93,115,strong,1
2023-07-13,603773,,14,57,115,strong,1
2023-07-13,002859,,14,71,115,strong,1
2023-07-13,688260,,14,58,115,strong,1
2023-07-13,301013,,10,59,115,strong,0
2023-07-14,600114,,14,78,115,choppy,1
2023-07-14,000601,,14,61,115,choppy,1
2023-07-14,002434,,14,60,115,choppy,1
2023-07-14,000678,,14,58,115,choppy,1
2023-07-14,300124,,14,88,115,choppy,1
2023-07-14,688700,,14,57,115,choppy,1
2023-07-14,601208,,14,93,115,choppy,1
2023-07-14,603773,,14,57,115,choppy,1
2023-07-14,002634,,14,73,115,choppy,1
2023-07-14,300566,,14,73,115,choppy,1
2023-07-14,601137,,14,57,115,choppy,1
2023-07-17,600114,,14,77,115,strong,1
2023-07-17,300975,,14,88,115,strong,1
2023-07-17,002434,,14,58,115,strong,1
2023-07-17,000678,,14,68,115,strong,1
2023-07-17,300124,,14,87,115,strong,1
2023-07-17,688786,,13,66,115,strong,0
2023-07-17,603002,,14,89,115,strong,1
2023-07-17,605589,,14,93,115,strong,1
2023-07-17,300285,,14,63,115,strong,1
2023-07-17,002207,,14,75,115,strong,1
2023-07-17,600378,,14,86,115,strong,1
2023-07-17,600938,,14,86,115,strong,1
2023-07-17,002353,,14,92,115,strong,1
2023-07-18,601208,,14,94,115,strong,1
2023-07-18,603773,,14,58,115,strong,1
2023-07-18,000988,,14,88,115,strong,1
2023-07-18,300124,,14,58,115,strong,1
2023-07-18,002207,,14,80,115,strong,1
2023-07-18,600378,,14,86,115,strong,1
2023-07-18,600938,,14,84,115,strong,1
2023-07-18,002353,,14,92,115,strong,1
2023-07-19,600114,,14,80,115,choppy,1
2023-07-19,300709,,13,64,115,choppy,1
2023-07-19,002207,,14,81,115,choppy,1
2023-07-19,300084,,14,71,115,choppy,1
2023-07-19,300159,,14,64,115,choppy,1
2023-07-19,000988,,14,87,115,choppy,1
2023-07-19,300124,,14,57,115,choppy,1
2023-07-19,000960,,14,69,115,choppy,1
2023-07-19,601168,,14,88,115,choppy,1
2023-07-19,601899,,14,86,115,choppy,1
2023-07-20,002207,,14,72,115,choppy,1
2023-07-20,600938,,14,78,115,choppy,1
2023-07-20,688377,,14,89,115,choppy,1
2023-07-20,300084,,14,64,115,choppy,1
2023-07-20,600114,,14,69,115,choppy,1
2023-07-20,002258,,14,88,115,choppy,1
2023-07-20,600596,,14,94,115,choppy,1
2023-07-20,600711,,14,66,115,choppy,1
2023-07-20,300163,,14,71,115,choppy,1
2023-07-20,000426,,14,56,115,choppy,1
2023-07-20,000960,,14,57,115,choppy,1
2023-07-20,603588,,14,71,115,choppy,1
2023-07-20,600961,,14,68,115,choppy,1
2023-07-20,601168,,14,85,115,choppy,1
2023-07-20,601899,,14,85,115,choppy,1
2023-07-20,000751,,14,56,115,choppy,1
2023-07-21,002258,,14,95,115,strong,1
2023-07-21,600389,,14,89,115,strong,1
2023-07-21,600596,,14,95,115,strong,1
2023-07-21,002385,,14,64,115,strong,1
2023-07-21,002041,,14,87,115,strong,1
2023-07-21,002004,,14,63,115,strong,1
2023-07-21,600711,,14,66,115,strong,1
2023-07-21,300163,,14,71,115,strong,1
2023-07-21,600866,,14,63,115,strong,1
2023-07-21,002539,,14,57,115,strong,1
2023-07-21,000960,,14,56,115,strong,1
2023-07-21,600961,,14,62,115,strong,1
2023-07-21,601168,,14,82,115,strong,1
2023-07-21,601899,,14,81,115,strong,1
2023-07-24,300163,,14,71,115,strong,1
2023-07-24,000967,,14,61,115,strong,1
2023-07-24,002305,,14,64,115,strong,1
2023-07-24,002717,,14,64,115,strong,1
2023-07-24,600162,,14,66,115,strong,1
2023-07-24,603588,,14,67,115,strong,1
2023-07-24,600961,,14,57,115,strong,1
2023-07-24,601168,,14,72,115,strong,1
2023-07-24,601899,,14,71,115,strong,1
2023-07-24,300826,,10,74,115,strong,0
2023-07-25,300163,,14,71,115,strong,1
2023-07-25,002200,,14,64,115,strong,1
2023-07-25,000967,,14,60,115,strong,1
2023-07-25,002717,,14,64,115,strong,1
2023-07-25,600340,,14,64,115,strong,1
2023-07-25,300197,,14,67,115,strong,1
2023-07-25,600119,,14,62,115,strong,1
2023-07-25,001979,,14,62,115,strong,1
2023-07-25,600895,,14,86,115,strong,1
2023-07-25,600708,,14,71,115,strong,1
2023-07-25,600376,,14,62,115,strong,1
2023-07-26,600162,,14,74,115,strong,1
2023-07-26,002575,,13,79,115,strong,0
2023-07-26,002200,,14,64,115,strong,1
2023-07-26,000967,,14,67,115,strong,1
2023-07-26,002305,,14,78,115,strong,1
2023-07-26,300197,,14,70,115,strong,1
2023-07-26,600119,,14,74,115,strong,1
2023-07-26,001979,,14,63,115,strong,1
2023-07-26,600895,,14,93,115,strong,1
2023-07-26,600376,,14,63,115,strong,1
2023-07-26,600711,,14,64,115,strong,1
2023-07-26,301227,,10,83,115,strong,0
2023-07-26,002713,,14,61,115,strong,0
2023-07-27,600162,,14,74,115,strong,1
2023-07-27,002575,,14,91,115,strong,1
2023-07-27,002200,,14,64,115,strong,1
2023-07-27,000967,,14,60,115,strong,1
2023-07-27,002431,,14,78,115,strong,1
2023-07-27,002717,,14,58,115,strong,1
2023-07-27,600119,,14,76,115,strong,1
2023-07-27,300295,,14,64,115,strong,1
2023-07-27,600895,,14,88,115,strong,1
2023-07-27,600708,,14,82,115,strong,1
2023-07-27,600376,,14,64,115,strong,1
2023-07-27,300197,,14,68,115,strong,1
2023-07-27,600711,,14,63,115,strong,1
2023-07-27,002510,,9,54,115,strong,0
2023-07-28,000055,,14,60,115,strong,1
2023-07-28,600162,,14,74,115,strong,1
2023-07-28,002200,,14,64,115,strong,1
2023-07-28,000967,,14,59,115,strong,1
2023-07-28,002305,,14,78,115,strong,1
2023-07-28,002717,,14,58,115,strong,1
2023-07-28,600340,,14,76,115,strong,1
2023-07-28,600119,,14,77,115,strong,1
2023-07-28,001979,,14,64,115,strong,1
2023-07-28,600708,,14,85,115,strong,1
2023-07-28,600376,,14,86,115,strong,1
2023-07-28,600906,,14,80,115,strong,1
2023-07-28,000878,,14,71,115,strong,1
2023-07-28,300197,,14,61,115,strong,1
2023-07-31,600119,,14,79,115,strong,1
2023-07-31,001979,,14,65,115,strong,1
2023-07-31,600895,,14,78,115,strong,1
2023-07-31,600708,,14,90,115,strong,1
2023-07-31,600376,,14,92,115,strong,1
2023-07-31,600162,,14,74,115,strong,1
2023-07-31,002200,,14,64,115,strong,1
2023-07-31,000967,,14,65,115,strong,1
2023-07-31,603955,,14,58,115,strong,1
2023-07-31,601995,,14,63,115,strong,1
2023-07-31,600906,,14,85,115,strong,1
2023-07-31,000878,,14,78,115,strong,1
2023-07-31,600598,,10,67,115,strong,0
2023-07-31,002114,,14,62,115,strong,1
2023-07-31,002419,,14,75,115,strong,1
2023-07-31,600180,,14,68,115,strong,1
2023-07-31,601952,,13,61,115,strong,0
2023-07-31,002385,,14,60,115,strong,0
2023-07-31,002041,,14,65,115,strong,0
2023-08-01,600119,,14,81,115,strong,1
2023-08-01,001979,,14,89,115,strong,1
2023-08-01,600708,,14,91,115,strong,1
2023-08-01,002305,,14,80,115,strong,1
2023-08-01,000056,,14,78,115,strong,1
2023-08-01,600376,,14,94,115,strong,1
2023-08-01,000055,,14,67,115,strong,1
2023-08-01,600162,,14,76,115,strong,1
2023-08-01,002200,,14,64,115,strong,1
2023-08-01,000967,,14,65,115,strong,1
2023-08-01,002431,,14,75,115,strong,1
2023-08-01,002717,,14,64,115,strong,1
2023-08-01,600340,,14,78,115,strong,1
2023-08-01,603955,,14,58,115,strong,1
2023-08-01,000878,,14,83,115,strong,1
2023-08-01,603588,,14,59,115,strong,1
2023-08-01,600961,,14,62,115,strong,1
2023-08-01,601168,,14,87,115,strong,1
2023-08-01,601899,,14,67,115,strong,1
2023-08-01,000751,,14,64,115,strong,1
2023-08-01,000998,,10,58,115,strong,0
2023-08-02,600119,,14,73,115,strong,1
2023-08-02,001979,,14,89,115,strong,1
2023-08-02,600895,,14,95,115,strong,1
2023-08-02,600708,,14,90,115,strong,1
2023-08-02,002305,,14,80,115,strong,1
2023-08-02,000056,,14,76,115,strong,1
2023-08-02,600376,,14,95,115,strong,1
2023-08-02,000055,,14,66,115,strong,1
2023-08-02,002314,,14,77,115,strong,1
2023-08-02,600162,,14,75,115,strong,1
2023-08-02,002678,,14,72,115,strong,1
2023-08-02,002200,,14,64,115,strong,1
2023-08-02,000967,,14,58,115,strong,1
2023-08-02,002431,,14,67,115,strong,1
2023-08-02,002717,,14,69,115,strong,1
2023-08-02,603955,,14,58,115,strong,1
2023-08-02,000958,,14,69,115,strong,1
2023-08-02,000878,,14,85,115,strong,1
2023-08-02,300119,,14,67,115,strong,1
2023-08-02,600082,,14,68,115,strong,1
2023-08-02,600717,,14,68,115,strong,1
2023-08-02,600800,,14,68,115,strong,1
2023-08-03,600119,,14,70,115,strong,1
2023-08-03,001979,,14,89,115,strong,1
2023-08-03,600708,,14,88,115,strong,1
2023-08-03,002305,,14,79,115,strong,1
2023-08-03,000056,,14,76,115,strong,1
2023-08-03,600376,,14,95,115,strong,1
