code,name,source,rule_detail,dif,dea,macd,kongpan,k,d,j,MACD买入,ZJTJ控盘,KDJ买入,财务增长,核心满足,今日涨跌,连选天数,近3日涨幅,近5日涨幅,近10日涨幅,重点关注
300807,天迈科技,龙头:300807,✗MACD | ✗ZJTJ | ✓KDJ买入,-2.8041,-2.2666,-1.0751,-12.25,21.08,17.72,27.8,✗,✗,✓,✗,✗,-0.47,0,1.19,-5.44,-9.69,
601689,拓普集团,龙头:601689,✗MACD | ✓ZJTJ控盘 | ✓KDJ买入,0.7862,1.013,-0.4535,0.79,55.91,42.43,82.88,✗,✓,✓,✗,✗,-0.51,0,0.22,7.61,-4.7,
002241,歌尔股份,龙头:002241,✗MACD | ✗ZJTJ,-0.0677,0.3297,-0.7948,-7.05,21.51,34.15,-3.75,✗,✗,✗,✗,✗,3.16,0,-4.45,-10.75,-12.1,
301038,深水规院,龙头:301038,✗MACD | ✗ZJTJ | ✓KDJ买入,-0.2616,-0.2868,0.0503,-0.99,53.3,45.84,68.23,✗,✗,✓,✗,✗,0.0,0,2.62,3.68,2.88,
300482,万孚生物,龙头:300482,✗MACD | ✓ZJTJ控盘 | ✓KDJ买入,-0.0004,-0.18,0.3591,4.94,61.41,40.16,103.9,✗,✓,✓,✗,✗,15.54,0,27.26,17.46,10.84,
002318,久立特材,龙头:002318,✗MACD | ✗ZJTJ | ✓KDJ买入,-1.5452,-1.392,-0.3065,-11.01,12.94,12.54,13.76,✗,✗,✓,✗,✗,0.18,0,-2.25,-2.34,-11.37,
300746,汉嘉数智,龙头:300746,✗MACD | ✗ZJTJ | ✓KDJ买入,-0.5803,-0.4749,-0.2107,-9.52,32.77,18.63,61.05,✗,✗,✓,✗,✗,5.99,0,8.7,4.26,-5.66,
300521,爱司凯,龙头:300521,✗MACD | ✗ZJTJ | ✓KDJ买入,-0.9893,-0.8338,-0.311,-7.21,23.18,20.68,28.16,✗,✗,✓,✗,✗,-0.36,0,4.46,-0.77,-1.64,
300531,优博讯,龙头:300531,✗MACD | ✗ZJTJ | ✓KDJ买入,-0.9887,-0.9007,-0.1759,-8.87,47.51,28.87,84.8,✗,✗,✓,✗,✗,-0.91,0,4.21,4.34,-3.31,
601865,福莱特,龙头:601865,✗MACD | ✗ZJTJ | ✓KDJ买入,-0.757,-0.6774,-0.1591,-11.5,12.9,10.67,17.35,✗,✗,✓,✗,✗,1.51,0,-4.37,-7.18,-11.61,
603806,福斯特,龙头:603806,✗MACD | ✗ZJTJ,-0.2831,-0.1293,-0.3075,-6.02,26.47,35.36,8.7,✗,✗,✗,✗,✗,2.12,0,-8.09,-5.11,-13.17,
603628,清源股份,龙头:603628,✗MACD | ✗ZJTJ | ✓KDJ买入,-0.6581,-0.6311,-0.0542,-9.08,22.8,16.23,35.95,✗,✗,✓,✗,✗,4.16,0,-0.1,-2.69,-6.16,
002080,中材科技,龙头:002080,✗MACD | ✗ZJTJ,1.5145,3.1146,-3.2003,-6.26,24.6,29.31,15.17,✗,✗,✗,✗,✗,10.0,0,1.38,-1.15,-12.38,
600876,凯盛新能,龙头:600876,✗MACD | ✗ZJTJ | ✓KDJ买入,-0.2555,-0.2608,0.0107,-3.66,34.23,28.34,46.02,✗,✗,✓,✗,✗,0.7,0,2.36,1.17,-4.42,
300014,亿纬锂能,龙头:300014,✗MACD | ✗ZJTJ,-2.7095,-1.8026,-1.8138,-11.71,15.63,19.68,7.54,✗,✗,✗,✗,✗,4.66,0,-4.69,-13.16,-10.26,
002108,沧州明珠,龙头:002108,✗MACD | ✗ZJTJ | ✓KDJ买入,-0.2271,-0.1562,-0.1417,-10.97,17.44,12.61,27.08,✗,✗,✓,✗,✗,2.41,0,-0.21,-4.29,-9.13,
002036,联创电子,龙头:002036,✗MACD | ✗ZJTJ,-0.0123,0.0818,-0.1882,-4.85,18.68,25.63,4.79,✗,✗,✗,✗,✗,3.25,0,0.56,-3.37,-17.44,
300571,平治信息,龙头:300571,✗MACD | ✗ZJTJ,-1.3812,0.805,-4.3724,-19.22,10.01,10.47,9.09,✗,✗,✗,✗,✗,1.08,0,-6.28,-4.83,-20.39,
603010,万盛股份,龙头:603010,✗MACD | ✗ZJTJ,0.1198,0.3242,-0.4088,-4.43,20.38,27.97,5.2,✗,✗,✗,✗,✗,1.09,0,-0.14,-4.42,-13.0,
300725,药石科技,龙头:300725,✗MACD | ✗ZJTJ | ✓KDJ买入,-1.5419,-1.0439,-0.9961,-11.38,10.99,9.76,13.43,✗,✗,✓,✗,✗,1.11,0,-4.73,-6.76,-13.26,
000915,华特达因,龙头:000915,✗MACD | ✗ZJTJ,-0.6557,-0.6849,0.0584,-3.05,27.91,35.73,12.27,✗,✗,✗,✗,✗,0.26,0,-1.0,-3.78,-2.69,
600197,伊力特,龙头:600197,✗MACD | ✗ZJTJ,-0.2588,-0.0523,-0.4129,-10.18,8.92,21.9,-17.04,✗,✗,✗,✗,✗,-1.9,0,-3.64,-12.3,-15.11,
000892,欢瑞世纪,龙头:000892,✗MACD | ✗ZJTJ,-0.3541,-0.3699,0.0316,-10.84,13.62,17.77,5.33,✗,✗,✗,✗,✗,1.06,0,-1.04,-6.14,-6.6,
301027,华蓝集团,龙头:301027,✗MACD | ✗ZJTJ | ✓KDJ买入,-1.1445,-0.7961,-0.6969,-13.13,14.84,10.66,23.2,✗,✗,✓,✗,✗,3.94,0,0.21,-3.47,-11.68,
300992,泰福泵业,龙头:300992,✗MACD | ✗ZJTJ | ✓KDJ买入,-1.2918,-1.1143,-0.3552,-8.69,20.44,18.41,24.49,✗,✗,✓,✗,✗,2.29,0,-0.68,-3.37,-7.6,
601886,江河集团,龙头:601886,✗MACD | ✗ZJTJ | ✓KDJ买入,-0.1573,-0.0961,-0.1224,-4.8,29.06,22.67,41.85,✗,✗,✓,✗,✗,2.22,0,3.8,0.69,-7.51,
300234,开尔新材,龙头:300234,✓MACD买入 | ✓ZJTJ控盘 | ✓KDJ买入,0.5728,0.4963,0.153,13.59,80.57,73.05,95.6,✓,✓,✓,✗,✓,1.07,2,11.16,10.26,10.9,
300142,沃森生物,龙头:300142,✗MACD | ✗ZJTJ | ✓KDJ买入,-0.4632,-0.168,-0.5904,-13.62,9.1,7.15,13.0,✗,✗,✓,✗,✗,1.96,0,-3.94,-6.68,-17.8,
600293,三峡新材,龙头:600293,✓MACD买入 | ✓ZJTJ控盘 | ✓KDJ买入,0.1706,0.0779,0.1854,18.54,76.32,71.11,86.74,✓,✓,✓,✗,✓,-2.42,2,11.94,21.39,19.94,
